NGC-281-W	    123.07	-6.31	0.421	0.022	-2.69	0.16	-1.77	0.11	-29.0	1.0	    6.7	        EVN	    2010A&A...511A...2R
W3(OH)	        133.95	1.06	0.489	0.017	-1.16	0.72	0.60	0.72	-45.0	3.0	    22.2	    VLBA	2006ApJ...645..337H
W3(OH)	        133.95	1.06	0.512	0.010	-1.20	0.20	-0.15	0.20	-45.0	3.0	    12.2	    VLBA	2006Sci...311...54X
WB89-437	    135.28	2.80	0.367	0.006	0.17	0.01	-1.27	0.50	-72.0	3.0	    22.2	    VLBA	2009ApJ...696.1981H
G183.72-3.66	183.72	-3.66	0.629	0.012	0.38	1.30	-1.32	1.30	3.0	5.0	        22	        VLBA	2014ApJ...790...99C
S252	        188.95	0.89	0.476	0.006	0.02	0.01	-2.02	0.04	11.0	3.0	    12.2	    VLBA	2009ApJ...693..397R
S269	        196.45	-1.68	0.189	0.016	-0.42	0.02	-0.12	0.08	20.0	3.0	    22.2	    VERA	2007PASJ...59..889H
Orion	        209.01	-19.30	2.425	0.035	3.30	1.00	0.10	1.00	10.0	5.0	    8.4         VLBA	2007A&A...474..515M
G229.57+0.15	229.57	0.15	0.218	0.012	-1.33	0.70	0.77	0.70	47.0	10.0    22	        VLBA	2014ApJ...790...99C
G232.6+1.0	    232.62	1.00	0.596	0.035	-2.17	0.06	2.09	0.46	23.0	3.0	    12.2	    VLBA	2009ApJ...693..397R
G236.81+1.98	236.81	1.98	0.326	0.026	-2.49	0.43	2.67	0.41	43.0	7.0	    22	        VLBA	2014ApJ...790...99C
VY-CMa	        239.35	-5.06	0.830	0.080	-2.80	0.20	2.60	0.20	22.0	3.0	    43	        VLBA	2012ApJ...744...23Z
G240.31+0.07	240.31	0.07	0.188	0.016	-2.43	0.20	2.49	0.20	67.0	5.0	    22	        VLBA	2014ApJ...790...99C
NGC6334	        351.44	0.65	0.744	0.076	0.31	0.58	-2.17	0.90	-8.0	3.0	    12.2	    VLBA	2014A&A...566A..17W
